c1a5298f939e87e8f962a5edfc206918|Hi|hi
e0aa021e21dddbd6d8cecec71e9cf564|OK|ok
e0a0862398ccf49afa6c809d3832915c|wo|wo
53e0dbc06e48e3d381ac224fa8bae3df|LED|led
23c860df51db49ab82ca26089559bcfc|hoch|hoch
642042e7bb028edd8287765a980cc41a|Welt|welt
7e36c501eace6c0f24437652826b8f13|Erde|erde
162b09f3c6ab023b21caee9fff364223|rufe|rufe
1463d2d32e09289fbf52dad848ee3ec7|orte|orte
2c23b33b70d5a4685792dc2104fa367c|trüb|trüb
5a597bf75b94682fce02850ee52358cf|Wert|wert
33936d8020d405d352a6b59480be510e|lies|lies
d1bf93299de1b68e6d382c893bf1215f|Hallo|hallo
49c5f675b49037b6044b803ac9d1a6d7|Grüße|grüße
d1bf93299de1b68e6d382c893bf1215f|Hallo|hallo
edb490b091ae3431d2f1d6eee7917191|Szene|szene
c8f1ac1513293af37c9ad8dc06101be6|Licht|licht
8b12b040bb4e82b840ecec97d9819d9e|Lampe|lampe
daab095f7bc51677830c79c061e95d5b|setze|setze
fb70eeb7696fe224b7b8b49d372df11e|drehe|drehe
33c790ecadc9ae0205e032c58e7094e0|Zählen|zählen
a939f2ca060905f79b40a8328d119b40|runter|runter
7cd316caca365a608669c56dab62fd50|starte|starte
bdfa5c8a8764dda01acf2aa65eaa512f|Skript|skript
ec9f27720adf445bef410db112f4f186|erhöhe|erhöhe
4b932b55c2db99a982e7c68ca7c5e6ce|herauf|herauf
bcdb43889b9aeb02751ba5d1d3f65aa0|Lampen|lampen
ec53a8c4f07baed5d8825072c89799be|Status|status
06b185256c71c1aec263c6e22bf8ef6b|Sensor|sensor
246281cd335325b5a2d948c719cf9469|Lichter|lichter
cf9341c24e729d7b98747c01c8ab9bfe|schalte|schalte
cf9341c24e729d7b98747c01c8ab9bfe|schalte|schalte
7f5acff9d1957e4d771d513b1794812a|Zustand|zustand
0aeae8dd0fafb773fc1b18e71fdcaf77|Auslöser|auslöser
3dba704136839af3f5602d9b8947063f|herunter|herunter
0fde2c6e6495776482d2a5618ff16f48|aktiviere|aktiviere
c377d7ffd108a8d656be585ab41c89e8|reduziere|reduziere
45e61868e630ec872a4611686497f708|Glühbirne|glühbirne
9c112cb45ebbfdee9d1d5c797caa3908|Peter Hase|peter hase
35094685799a19d8b4ce0e576bd92526|Glühbirnen|glühbirnen
e121bf242048de7030aa9dbaccf63ca1|De­tek­tor|de­tek­tor
53c2bf5448cee56779f8a22079e55199|Rotkäppchen|rotkäppchen
c4e11838c3352c9df1b0a88022ee273a|einschalten|einschalten
66fd1e244b230347f14d3410529d431c|Hallo zurück|hallo zurück
907982a65847a2f2ce07dafe81e5752a|heller machen|heller machen
4d5edbe78517eec67d7b1f5500d21739|Rumpelstilzchen|rumpelstilzchen
b3209b1f6c20c07d10e5e6c8353c2d8e|Automatisierung|automatisierung
5de4dd3313370e6c149584c27eee47ad|was ist aktuell|was ist aktuell
e46bcd7de5f240143c55d7b77289d68a|Hänsel und Gretel|hänsel und gretel
2ce77a2392740294b33dd6570a2394d9|Das Samtkaninchen|das samtkaninchen
e768c3fdf55ffee46ab2fc65cb8d0713|Die Wichtelmänner|die wichtelmänner
